,Tuple,Count,Start X,Start Y,End X,End Y
33656,"(40.67894, -73.96196, 40.67894, -73.96196)",2,40.67894,-73.96196,40.67894,-73.96196
33657,"(40.74523, -74.0023, 40.74626, -74.00477)",194,40.74523,-74.0023,40.74626,-74.00477
33658,"(40.76114, -73.95792, 40.76114, -73.95792)",1,40.76114,-73.95792,40.76114,-73.95792
33659,"(40.76965, -73.97188, 40.7697, -73.97178)",232,40.76965,-73.97188,40.7697,-73.97178
33660,"(40.72171, -73.95063, 40.72242, -73.95105)",43,40.72171,-73.95063,40.72242,-73.95105
33661,"(40.77136, -73.9534, 40.77166, -73.95318)",86,40.77136,-73.9534,40.77166,-73.95318
33662,"(40.78504, -73.98287, 40.78504, -73.98283)",4,40.78504,-73.98287,40.78504,-73.98283
33663,"(40.70025, -73.96176, 40.70005, -73.96183)",1,40.70025,-73.96176,40.70005,-73.96183
33664,"(40.76001, -73.96287, 40.75974, -73.96224)",22,40.76001,-73.96287,40.75974,-73.96224
33665,"(40.76065, -73.96263, 40.76064, -73.96258)",126,40.76065,-73.96263,40.76064,-73.96258
33666,"(40.76663, -73.96698, 40.76598, -73.96544)",4,40.76663,-73.96698,40.76598,-73.96544
33667,"(40.69172, -73.97896, 40.69191, -73.97899)",20,40.69172,-73.97896,40.69191,-73.97899
33668,"(40.73164, -73.98545, 40.73258, -73.98769)",8,40.73164,-73.98545,40.73258,-73.98769
33669,"(40.73557, -73.92538, 40.73557, -73.92538)",2,40.73557,-73.92538,40.73557,-73.92538
33670,"(40.76085, -74.00254, 40.76084, -74.00249)",340,40.76085,-74.00254,40.76084,-74.00249
33671,"(40.76516, -73.97709, 40.76622, -73.97955)",82,40.76516,-73.97709,40.76622,-73.97955
33672,"(40.71487, -73.99685, 40.7147, -73.99697)",3,40.71487,-73.99685,40.7147,-73.99697
33673,"(40.73076, -73.94825, 40.73077, -73.94822)",15,40.73076,-73.94825,40.73077,-73.94822
33674,"(40.77688, -73.94937, 40.77594, -73.94713)",95,40.77688,-73.94937,40.77594,-73.94713
33675,"(40.78247, -73.97883, 40.78315, -73.97833)",27,40.78247,-73.97883,40.78315,-73.97833
33676,"(40.71167, -74.01599, 40.71172, -74.01612)",6,40.71167,-74.01599,40.71172,-74.01612
33677,"(40.71805, -74.00305, 40.71746, -74.00354)",32,40.71805,-74.00305,40.71746,-74.00354
33678,"(40.70383, -73.98879, 40.70383, -73.98883)",5,40.70383,-73.98879,40.70383,-73.98883
33679,"(40.72084, -73.94882, 40.71918, -73.94853)",39,40.72084,-73.94882,40.71918,-73.94853
33680,"(40.71407, -73.95285, 40.71398, -73.95295)",1,40.71407,-73.95285,40.71398,-73.95295
33681,"(40.71926, -73.97723, 40.71909, -73.97639)",45,40.71926,-73.97723,40.71909,-73.97639
33682,"(40.73689, -73.97497, 40.73679, -73.97501)",31,40.73689,-73.97497,40.73679,-73.97501
33683,"(40.74104, -73.97865, 40.74039, -73.97907)",1202,40.74104,-73.97865,40.74039,-73.97907
